u_id,h_id,hotel_name,住所,y_m,o_year,prefecture,pre_code,rooms,management,brand,LocName,fX,fY,iConf,iLvl,kanku_dura,kanku_fare,kanku_tran,itami_dura,itami_fare,itami_tran,osakast_dura,osakast_fare,osakast_tran,L01_005,lvalue,L01_044,L01_045,L01_046,L01_047
8,4,イビススタイルズ大阪,大阪府大阪市中央区宗右衛門町２-１３,2016年2月,2016,大阪府,27_大阪府,343,MC,アコーホテルズ,大阪府/大阪市/中央区/宗右衛門町/２番,135.50476,34.66986,5,7,60,1150,1,69,650,2,29,230,1,2018,5100000,中高層の飲食店舗等が建ち並ぶ商業地域,なんば,450,商業
15,11,スイスホテル南海大阪,大阪府大阪市中央区難波５丁目１-６０,2014年12月,2014,大阪府,27_大阪府,546,賃貸,アコーホテルズ,大阪府/大阪市/中央区/難波/五丁目/１番,135.50049,34.66392,5,7,51,920,0,65,650,2,24,230,0,2018,6450000,高層の店舗兼事務所ビルが建ち並ぶ商業地域,なんば,0,商業
20,5,ホテル・アゴーラ大阪守口,大阪府守口市河原町１０-５,2012年8月,2012,大阪府,27_大阪府,175,所有直営,アゴーラ・ホテルアライアンス,大阪府/守口市/河原町/１０番,135.56639,34.73494,5,7,81,1420,2,65,700,1,26,370,1,2018,227000,中低層の店舗、事務所等が混在する商業地域,守口市,200,商業
21,6,ホテル・アゴーラ・リージェンシ一堺,大阪府堺市堺区戎島町4丁目４５-１,2012年10月,2012,大阪府,27_大阪府,241,所有直営,アゴーラ・ホテルアライアンス,大阪府/堺市/堺区/戎島町四丁,135.467885,34.58231,5,8,38,820,0,89,1010,2,39,440,1,2018,180000,事務所、店舗、共同住宅等の混在する商業地域,堺,380,商業
42,12,アパホテル大阪天満,大阪府大阪市北区同心２丁目１６-１５,1997年11月,1997,大阪府,27_大阪府,331,所有直営,アパホテルズ＆リゾーツ,大阪府/大阪市/北区/同心/二丁目/１６番,135.51677,34.70355,5,7,75,1200,1,58,540,2,10,120,0,2018,645000,各種の小売店舗が建ち並ぶ商業地域,天満,100,商業
52,22,アパホテル大阪谷町,大阪府大阪市中央区内本町１丁目３-１２,2001年3月,2001,大阪府,27_大阪府,151,所有直営,アパホテルズ＆リゾーツ,大阪府/大阪市/中央区/中寺,135.515502,34.683242,5,8,75,1290,1,66,650,2,19,230,0,2018,1170000,中高層の事務所ビルが建ち並ぶ商業地域,谷町四丁目,100,商業
55,25,アパホテル関空岸和田,大阪府岸和田市宮本町３-１９,2001年9月,2001,大阪府,27_大阪府,68,所有直営,アパホテルズ＆リゾーツ,大阪府/岸和田市/宮本町/３番,135.37706,34.46186,5,7,21,610,0,99,1240,2,55,670,1,2018,208000,中小規模の小売店舗等が集まる駅前の商業地域,岸和田,100,商業
73,43,アパヴィラホテル大阪谷町四丁目駅前,大阪府大阪市中央区農人橋１丁目１-２７,2006年4月,2006,大阪府,27_大阪府,339,所有直営,アパホテルズ＆リゾーツ,大阪府/大阪市/中央区/農人橋/一丁目/１番,135.5162,34.68078,5,7,66,1150,2,66,650,2,19,230,0,2018,566000,中層の事務所、マンション等の混在する商業地域,谷町四丁目,400,商業
75,45,アパホテル御堂筋本町駅前,大阪府大阪市中央区本町４丁目５-１２,2006年7月,2006,大阪府,27_大阪府,194,所有直営,アパホテルズ＆リゾーツ,大阪府/大阪市/中央区/本町/四丁目/５番,135.49873,34.68406,5,7,69,1150,1,64,600,2,15,180,0,2018,5250000,高層の事務所ビル等が建ち並ぶ商業地域,本町,50,商業
76,46,アパホテル天王寺駅前,大阪府大阪市阿倍野区阿倍野筋１丁目４-１１,2006年8月,2006,大阪府,27_大阪府,177,所有直営,アパホテルズ＆リゾーツ,大阪府/大阪市/阿倍野区/阿倍野筋/一丁目/４番,135.51244,34.64698,5,7,59,1060,0,71,650,2,26,280,1,2018,2900000,百貨店、事務所店舗ビルが建ち並ぶ高度商業地域,大阪阿部野橋,0,商業
80,50,アパヴィラホテル淀屋橋,大阪府大阪市中央区伏見町３丁目１-９,2007年4月,2007,大阪府,27_大阪府,466,所有直営,アパホテルズ＆リゾーツ,大阪府/大阪市/中央区/伏見町/三丁目/１番,135.50314,34.68934,5,7,68,1150,1,57,600,2,16,180,0,2018,1390000,中高層の事務所ビル、店舗が建ち並ぶ商業地域,淀屋橋,400,商業
83,53,アパホテル大阪肥後橋駅前,大阪府大阪市西区土佐堀１丁目２-１,2007年10月,2007,大阪府,27_大阪府,850,所有直営,アパホテルズ＆リゾーツ,大阪府/大阪市/西区/土佐堀/一丁目/２番,135.49486,34.69187,5,7,71,1100,1,61,600,2,14,180,0,2018,2330000,中高層の事務所、金融機関が多い業務商業地域,肥後橋,0,商業
101,71,アパホテル堺駅前,大阪府堺市堺区戎島町４丁目２８-６,2009年9月,2009,大阪府,27_大阪府,153,所有直営,アパホテルズ＆リゾーツ,大阪府/堺市/堺区/戎島町四丁,135.469836,34.583446,5,8,37,820,0,88,1010,2,38,440,1,2018,180000,事務所、店舗、共同住宅等の混在する商業地域,堺,380,商業
121,91,アパホテルなんば心斎橋,大阪府大阪市中央区西心斎橋２丁目７-１２,2012年3月,2012,大阪府,27_大阪府,221,所有直営,アパホテルズ＆リゾーツ,大阪府/大阪市/中央区/西心斎橋/二丁目/７番,135.49869,34.66956,5,7,62,920,0,65,650,2,21,230,0,2018,1610000,高層の事務所、店舗ビルの建ち並ぶ商業地域,なんば,0,商業
191,161,アパホテル　なんば駅東,大阪府大阪市中央区難波千日前4-29,2017年4月,2017,大阪府,27_大阪府,380,直営,アパホテルズ＆リゾーツ,大阪府/大阪市/中央区/難波千日前/４番,135.50523,34.66432,5,7,53,920,0,67,650,2,26,230,0,2018,559000,中層の店舗ビル等が建ち並ぶ繁華な商業地域,日本橋,140,商業
200,170,アパホテル　御堂筋本町駅東,大阪府大阪市中央区瓦町2丁目3-6,2017年11月,2017,大阪府,27_大阪府,160,直営,アパホテルズ＆リゾーツ,大阪府/大阪市/中央区/瓦町/二丁目/３番,135.50507,34.68581,5,7,65,1150,1,63,600,2,22,180,0,2018,1260000,中高層の事務所ビルが建ち並ぶ商業地域,本町,450,商業
250,14,ANAクラウンプラザホテル大阪,大阪府大阪市北区堂島浜１丁目３-１,2008年10月,2008,大阪府,27_大阪府,478,MC,インターコンチネンタル、ANAクラウンプラザホテル、ホリディ・イン、ANAホテル,大阪府/大阪市/北区/堂島浜/一丁目/３番,135.4986,34.69497,5,7,74,1100,1,62,600,2,21,180,0,2018,3100000,超高層の事務所ビルが建ち並ぶ商業地域,大江橋,0,商業
261,25,インターコンチネンタルホテル大阪,大阪府大阪市北区大深町３-６０,2013年6月,2013,大阪府,27_大阪府,272,MC,インターコンチネンタル、ANAクラウンプラザホテル、ホリディ・イン、ANAホテル,大阪府/大阪市/北区/大深町/３番地,135.4944,34.70642,5,7,74,1100,1,44,420,1,6,0,0,2018,15000000,都市機能の集積が進む超高層ビル中心の商業地域,大阪,0,商業
269,33,ホリディ・イン大阪難波,大阪府大阪市中央区宗右衛門町5-15,2016年11月,2016,大阪府,27_大阪府,314,FC,インターコンチネンタル、ANAクラウンプラザホテル、ホリディ・イン、ANAホテル,大阪府/大阪市/中央区/宗右衛門町/５番,135.50378,34.66989,5,7,62,920,0,66,650,2,25,230,0,2018,5100000,中高層の飲食店舗等が建ち並ぶ商業地域,なんば,450,商業
271,2,ヴィアイン新大阪,大阪府大阪市東淀川区西淡路１丁目１-７,1998年7月,1998,大阪府,27_大阪府,226,所有直営,ヴィアインホテルチェーン,大阪府/大阪市/東淀川区/西淡路/一丁目/１番,135.50256,34.73395,5,7,85,1200,1,49,420,2,13,160,0,2018,345000,中高層店舗付共同住宅等が建ち並ぶ商業地域,新大阪,600,商業
272,3,ヴィアイン新大阪ウエスト,大阪府大阪市淀川区宮原４丁目１-２１,2001年3月,2001,大阪府,27_大阪府,433,賃貸,ヴィアインホテルチェーン,大阪府/大阪市/淀川区/宮原/四丁目/１番,135.49724,34.73501,5,7,81,1200,1,49,390,1,17,160,0,2018,477000,高層の事務所、マンション等が混在する商業地域,東三国,350,商業
279,10,ヴィアイン心斎橋,大阪府大阪市中央区西心斎橋１丁目１０-１５,2011年4月,2011,大阪府,27_大阪府,205,賃貸,ヴィアインホテルチェーン,大阪府/大阪市/中央区/西心斎橋/一丁目/１０番,135.49866,34.67392,5,7,66,1100,1,62,650,2,19,230,0,2018,9300000,高層の事務所、店舗等が建ち並ぶ高度商業地域,心斎橋,0,商業
284,15,ヴィアイン心斎橋長堀通,大阪府大阪市西区新町１丁目４-１２,2014年6月,2014,大阪府,27_大阪府,150,賃貸,ヴィアインホテルチェーン,大阪府/大阪市/西区/西本町,135.497267,34.67568,5,8,65,1100,1,64,650,2,16,230,0,2018,7500000,高層の店舗兼事務所が建ち並ぶ中心的商業地域,心斎橋,0,商業
287,18,ヴィアインあべの天王寺,大阪府大阪市阿倍野区旭町一丁目1番7号,2017年4月,2017,大阪府,27_大阪府,172,賃貸,ヴィアインホテルチェーン,大阪府/大阪市/阿倍野区/旭町/一丁目/１番,135.51016,34.64751,5,7,61,1060,0,69,650,2,25,230,1,2018,2900000,百貨店、事務所店舗ビルが建ち並ぶ高度商業地域,大阪阿部野橋,0,商業
288,19,ヴィアイン梅田,大阪府大阪市北区小松原町１-２０,2017年8月,2017,大阪府,27_大阪府,217,賃貸,ヴィアインホテルチェーン,大阪府/大阪市/北区/小松原町/１番,135.5011,34.70238,5,7,74,1150,1,45,420,1,6,0,0,2018,2180000,中層の飲食店、レジャー施設等が建ち並ぶ地域,東梅田,230,商業
365,24,大江戸温泉物語　箕面観光ホテル,大阪府箕面市温泉町１-１,2013年7月,2013,大阪府,27_大阪府,237,直営,大江戸温泉物語グループ,大阪府/箕面市/温泉町/１番,135.46729,34.84032,5,7,116,1370,3,39,390,2,43,270,1,2018,176000,中規模一般住宅が多い高台の既成住宅地域,箕面,560,1低専
399,27,ホテル日航大阪,大阪府大阪市中央区西心斎橋１丁目３-３,1982年9月,1982,大阪府,27_大阪府,635,賃貸直営,オークラホテルズ＆リゾーツ、ニッコーホテルズ・インターナショナル、ホテルJALシティ,大阪府/大阪市/中央区/西心斎橋/一丁目/３番,135.49976,34.67388,5,7,65,1150,1,62,650,2,18,230,0,2018,9300000,高層の事務所、店舗等が建ち並ぶ高度商業地域,心斎橋,0,商業
400,28,ホテル日航関西空港,大阪府泉佐野市泉州空港北１,1995年6月,1995,大阪府,27_大阪府,576,MC,オークラホテルズ＆リゾーツ、ニッコーホテルズ・インターナショナル、ホテルJALシティ,大阪府/泉佐野市/泉州空港北/１番地,135.25764,34.44062,5,7,28,0,0,154,1790,2,99,1190,0,2018,61200,倉庫、工場、営業所等が建ち並ぶ流通業務地域,りんくうタウン,1000,準工
437,9,クロスホテル大阪,大阪府大阪市中央区心斎橋筋２丁目５-１５,2007年7月,2007,大阪府,27_大阪府,229,賃貸,オリックス不動産,大阪府/大阪市/中央区/心斎橋筋/二丁目/５番,135.50092,34.66971,5,7,60,920,0,63,650,2,22,230,0,2018,15800000,小売店舗、飲食店舗等が高度に集積する商業地域,なんば,230,商業
439,11,ホテルユニバーサルポート,大阪府大阪市此花区桜島１丁目１-１１１,2010年8月,2010,大阪府,27_大阪府,600,所有直営,オリックス不動産,大阪府/大阪市/此花区/桜島/一丁目/１番,135.43646,34.66317,5,7,81,1100,2,69,600,3,18,180,1,2018,211000,住宅の中に店舗等が見られる住宅地域,朝潮橋,660,1住居
457,8,ベストウェスタンホテルフィーノ大阪心斎橋,大阪府大阪市中央区東心斎橋１丁目1-2-19,2010年7月,2010,大阪府,27_大阪府,179,MC,価値開発ホテルグループ,大阪府/大阪市/中央区/東心斎橋/一丁目/１番,135.50572,34.67485,5,7,58,1150,1,65,650,2,24,230,1,2018,1670000,中高層の店舗兼事務所ビルが建ち並ぶ商業地域,長堀橋,80,商業
458,9,ベストウェスタン大阪塚本,大阪府大阪市淀川区塚本２丁目２１-９,2017年9月,2017,大阪府,27_大阪府,105,賃貸,価値開発ホテルグループ,大阪府/大阪市/淀川区/塚本/二丁目/２１番,135.46968,34.71186,5,7,81,1140,2,54,420,1,6,160,0,2018,278000,小売店舗等の建ち並ぶ駅前の商業地域,塚本,100,商業
470,2,からさホテル大阪心斎橋Ⅰ,大阪府大阪市中央区博労町１丁目６-９,2016年3月,2016,大阪府,27_大阪府,69,直営,からくさホテルズ,大阪府/大阪市/中央区/博労町/一丁目/６番,135.50786,34.67857,5,7,63,1150,1,70,600,3,26,180,1,2018,1670000,中高層の店舗兼事務所ビルが建ち並ぶ商業地域,長堀橋,80,商業
471,3,からさスプリングホテル関西エアゲート,大阪府泉南郡田尻町嘉祥寺５８８,2017年1月,2017,大阪府,27_大阪府,139,直営,からくさホテルズ,大阪府/泉南郡/田尻町/嘉祥寺/５８８番地,135.29544,34.39658,5,7,32,370,0,128,1460,3,76,770,2,2018,62400,中規模一般住宅が多く見られる既成住宅地域,吉見ノ里,400,2中専
472,4,からさホテル大阪なんば,大阪府大阪市中央区西心斎橋２丁目９-１３,2017年11月,2017,大阪府,27_大阪府,112,直営,からくさホテルズ,大阪府/大阪市/中央区/西心斎橋/二丁目/９番,135.49873,34.67075,5,7,62,920,0,66,650,2,20,230,0,2018,2710000,中高層の店舗ビル等が建ち並ぶ商業地域,心斎橋,250,商業
481,9,ホテルコスモスク工ア国際交流センター,大阪府大阪市住之江区南港北１丁目７-５０,2007年2月,2007,大阪府,27_大阪府,320,MC,カラカミ観光,大阪府/大阪市/住之江区/南港北/一丁目/７番,135.424,34.63958,5,7,92,1310,2,95,810,3,46,390,1,2018,100000,大規模倉庫が多い臨海の工業地域,ポートタウン東,720,準工
562,45,ドーミーイン梅田東,大阪府大阪市北区西天満３丁目５-３５,2007年4月,2007,大阪府,27_大阪府,131,賃貸,共立メンテナンス,大阪府/大阪市/北区/西天満/三丁目/５番,135.50877,34.69692,5,7,65,1150,1,61,600,2,15,180,0,2018,1370000,中高層の事務所ビルが多い商業地域,南森町,140,商業
563,46,ドーミーインPREMIUMなんば,大阪府大阪市中央区島之内２丁目１４-２３,2013年10月,2013,大阪府,27_大阪府,230,賃貸,共立メンテナンス,大阪府/大阪市/中央区/島之内/二丁目/１４番,135.50674,34.67063,5,7,61,1150,1,68,650,2,27,230,1,2018,1170000,中高層の事務所ビル等が建ち並ぶ商業地域,長堀橋,120,商業
564,47,天然温泉花風の湯なんば,大阪府大阪市中央区日本橋１丁目４-１８,2016年10月,2016,大阪府,27_大阪府,168,賃貸,共立メンテナンス,大阪府/大阪市/中央区/中寺,135.506756,34.668112,5,8,58,1150,1,68,650,2,25,230,1,2018,831000,小売店舗、飲食店舗が建ち並ぶ商業地域,日本橋,190,商業
565,48,ドーミ一イン心斎橋,大阪府大阪市中央区西心斎橋２丁目１７-３,2005年7月,2005,大阪府,27_大阪府,134,賃貸,共立メンテナンス,大阪府/大阪市/中央区/西心斎橋/二丁目/１７番,135.49739,34.67073,5,7,63,920,0,67,650,2,18,230,0,2018,1520000,中高層の事務所ビル、店舗の建ち並ぶ商業地域,四ツ橋,150,商業
619,10,ホテル・ザ・ルーテル,大阪府大阪市中央区谷町３丁目１-６,2001年12月,2001,大阪府,27_大阪府,180,MC,グランビスタホテル＆リゾート,大阪府/大阪市/中央区/谷町/三丁目/１番,135.51772,34.68399,5,7,75,1290,1,66,650,2,19,230,0,2018,1170000,中高層の事務所ビルが建ち並ぶ商業地域,谷町四丁目,100,商業
671,22,ホテルコルディア大阪,大阪府大阪市西区江戸堀１丁目３-２５,2017年2月,2017,大阪府,27_大阪府,83,MC,グリーンホスピタリティーマネジメント,大阪府/大阪市/西区/江戸堀/一丁目/３番,135.49689,34.69092,5,7,69,1100,1,60,600,2,12,180,0,2018,2330000,中高層の事務所、金融機関が多い業務商業地域,肥後橋,0,商業
746,10,クインテッサホテル大阪心斎橋,大阪府大阪市中央区東心斎橋１丁目８-２１,2017年9月,2017,大阪府,27_大阪府,132,賃貸,コアグローバルマネジメント,大阪府/大阪市/中央区/東心斎橋/一丁目/８番,135.50481,34.67395,5,7,60,1150,1,63,650,2,22,230,0,2018,1170000,中高層の事務所ビル等が建ち並ぶ商業地域,長堀橋,120,商業
747,11,ホテル・ラ・レゾン大阪,大阪府大阪市住之江区南港北1丁目13番65号コスモプラザビル,2017年12月,2017,大阪府,27_大阪府,182,賃貸,コアグローバルマネジメント,大阪府/大阪市/住之江区/南港北/一丁目/１３番,135.41599,34.6365,5,7,84,1310,2,87,810,3,38,390,1,2018,100000,大規模倉庫が多い臨海の工業地域,ポートタウン東,720,準工
772,9,大阪富士屋ホテル,大阪府大阪市中央区東心斎橋２-２-２,1981年6月,1981,大阪府,27_大阪府,180,MC,国際興業グループ,大阪府/大阪市/中央区/東心斎橋/二丁目/２番,135.50568,34.67066,5,7,61,1150,1,67,650,2,27,230,1,2018,1170000,中高層の事務所ビル等が建ち並ぶ商業地域,長堀橋,120,商業
794,13,ホテルサンルート梅田,大阪府大阪市北区豊崎３丁目９-１,1983年6月,1983,大阪府,27_大阪府,217,FC,サンルートホテルチェーン,大阪府/大阪市/北区/豊崎/三丁目/９番,135.4993,34.70948,5,7,75,1150,1,45,420,1,11,0,0,2018,689000,中高層の事務所ビル等の多い商業地域,中津,210,商業
832,51,ホテルサンルート大阪なんば,大阪府大阪市中央区日本橋１丁目１-１３,2016年4月,2016,大阪府,27_大阪府,698,賃貸,サンルートホテルチェーン,大阪府/大阪市/中央区/日本橋/一丁目/１番,135.50668,34.66847,5,7,59,1150,1,68,650,2,26,230,1,2018,559000,中層の店舗ビル等が建ち並ぶ繁華な商業地域,日本橋,140,商業
856,2,ホテルグランヴィア大阪,大阪府大阪市北区梅田３丁目１-１,1983年5月,1983,大阪府,27_大阪府,716,賃貸,JR西日本ホテルズ,大阪府/大阪市/北区/梅田/三丁目/１番,135.49765,34.70205,5,7,69,1100,1,45,420,1,1,0,0,2018,10800000,高層の店舗、事務所ビルが集まる中心的商業地域,大阪,0,商業
919,2,大阪ジョイテルホテル,大阪府大阪市住之江区新北島１丁目２-１,2007年7月,2007,大阪府,27_大阪府,229,賃貸,ジョイテルグループホテルズ,大阪府/大阪市/住之江区/新北島/一丁目/２番,135.47139,34.60867,5,7,66,1150,1,81,790,2,32,280,0,2018,225000,一般住宅、マンション等が混在する住宅地域,住之江公園,350,1住居
920,3,関西ジョイテルホテル,大阪府泉佐野市日根野４０６６,2010年12月,2010,大阪府,27_大阪府,270,賃貸,ジョイテルグループホテルズ,大阪府/泉佐野市/日根野/４０６６番地,135.32994,34.38976,5,7,20,460,0,112,1220,2,60,800,0,2018,116000,中低層の店舗兼共同住宅が多い駅前の商業地域,日根野,0,近商
922,2,スーパーホテル堺マリティマ,大阪府堺市堺区大町西３丁４-１,1997年4月,1997,大阪府,27_大阪府,99,賃貸,スーパーホテル,大阪府/堺市/堺区/大町西三丁/４番,135.4689,34.57863,5,7,42,820,0,93,1010,2,43,440,1,2018,180000,事務所、店舗、共同住宅等の混在する商業地域,堺,380,商業
931,11,スーパーホテル門真,大阪府門真市新橋町１５-２０,2001年6月,2001,大阪府,27_大阪府,105,賃貸,スーパーホテル,大阪府/門真市/新橋町/１５番,135.58295,34.73569,5,7,87,1420,3,48,550,0,32,430,2,2018,143000,小規模一般住宅、アパート等が混在する住宅地域,西三荘,400,2中専
934,14,ス一パーホテル梅田・肥後橋,大阪府大阪市西区江戸堀１丁目２０-１,2001年12月,2001,大阪府,27_大阪府,80,賃貸,スーパーホテル,大阪府/大阪市/西区/江戸堀/一丁目/２０番,135.49515,34.68866,5,7,72,1100,1,62,600,2,15,180,0,2018,2330000,中高層の事務所、金融機関が多い業務商業地域,肥後橋,0,商業
941,21,スーパーホテル御堂筋線・江坂,大阪府吹田市広芝町１２-３３,2003年2月,2003,大阪府,27_大阪府,108,賃貸,スーパーホテル,大阪府/吹田市/広芝町/１２番,135.49832,34.75533,5,7,88,1200,1,48,470,1,26,230,0,2018,834000,店舗兼共同住宅、事務所ビルが見られる商業地域,江坂,170,商業
948,28,スーパーホテル大阪・谷町四丁目,大阪府大阪市中央区常盤町２丁目２-２９,2004年2月,2004,大阪府,27_大阪府,74,賃貸,スーパーホテル,大阪府/大阪市/中央区/常盤町/二丁目/２番,135.51372,34.68213,5,7,69,1150,2,68,650,2,21,230,0,2018,1100000,中高層の事務所ビルが建ち並ぶ商業地域,谷町四丁目,300,商業
949,29,スーパーホテル大阪・天王寺,大阪府大阪市天王寺区逢阪２丁目３-３,2004年2月,2004,大阪府,27_大阪府,124,賃貸,スーパーホテル,大阪府/大阪市/天王寺区/逢阪/二丁目/３番,135.51318,34.65255,5,7,64,1060,0,77,650,2,31,230,0,2018,381000,一般住宅のほかに事務所等が見られる住宅地域,四天王寺前夕陽ヶ丘,450,2住居
955,35,スーパーホテルなんば・日本橋,大阪府大阪市中央区日本橋１丁目２０-５,2004年12月,2004,大阪府,27_大阪府,136,賃貸,スーパーホテル,大阪府/大阪市/中央区/日本橋/一丁目/２０番,135.50577,34.66573,5,7,56,1150,1,67,650,2,25,230,1,2018,559000,中層の店舗ビル等が建ち並ぶ繁華な商業地域,日本橋,140,商業
967,47,ス一パーホテルJR新大阪東口,大阪府大阪市東淀川区東中島１丁目１３-２６,2006年7月,2006,大阪府,27_大阪府,105,賃貸,スーパーホテル,大阪府/大阪市/東淀川区/東中島/一丁目/１３番,135.50365,34.73199,5,7,85,1200,1,49,420,2,15,160,0,2018,345000,中高層店舗付共同住宅等が建ち並ぶ商業地域,新大阪,600,商業
1017,97,スーパーホテル大阪天然温泉,大阪府大阪市西区江戸堀３丁目６-３５,1997年5月,1997,大阪府,27_大阪府,440,賃貸,スーパーホテル,大阪府/大阪市/西区/江戸堀/三丁目/６番,135.48569,34.68558,5,7,74,1100,1,77,540,2,20,120,0,2018,693000,高層の店舗付共同住宅や共同住宅の多い商業地域,阿波座,180,商業
